Quantity,Name,Finish,Condition,Language,Edition Code,Scryfall ID,Collector Number
1,"Omnath, Locus of Rage",Normal,NM,EN,,637c5910-f835-496e-b1b9-445bfb71da97,129
1,Llanowar Elves,Normal,NM,EN,,6a0b230b-d391-4998-a3f7-7b158a0ec2cd,227
1,Sol Ring,Normal,NM,EN,,870ec754-a76c-40ea-9b81-81b3dca1f62c,128
1,Arcane Signet,Normal,NM,EN,,7811dd72-61b9-4067-ac20-cea153e625d2,127
1,Lotus Cobra,Normal,NM,EN,,a4b759f0-901f-4be3-93fa-224609b08d48,193
1,Bloom Tender,Normal,NM,EN,,ba86688d-18f0-4b5c-a797-42bf125a6c9f,166
1,Explore,Normal,NM,EN,,3976affd-8c2b-499a-a946-b629c2ba59c7,192
1,Rampant Growth,Normal,NM,EN,,b7c47024-5e08-4b17-b41a-7647f8b814b9,265
1,Burnished Hart,Normal,NM,EN,,65ebbff0-fbe6-4310-a33f-e00bb2534979,250
1,Bitter Reunion,Normal,NM,EN,,4ef0b4dc-5a15-4de6-9c27-0e21148c0797,156
1,Gilded Lotus,Normal,NM,EN,,aa5e88f1-0ddf-45d7-bbd0-baa88d121867,725
1,Swiftfoot Boots,Normal,NM,EN,,1969b151-3192-4d35-80ca-c4e180601ec8,328
1,Harrow,Normal,NM,EN,,3e76be46-cf81-4fef-bc5b-f87666cb0413,98
1,Springbloom Druid,Normal,NM,EN,,17d67b88-3f76-401f-b04a-f2bcaab4aa97,767
1,Circuitous Route,Normal,NM,EN,,a806dec2-d4f9-4f8d-a1dd-170777941131,635
1,World Shaper,Normal,NM,EN,,cc765da4-4bca-4250-80e4-05575d6fa98c,214
1,Nesting Dragon,Normal,NM,EN,,626db678-2dec-4026-af5a-83e834692ba0,225
1,"Azusa, Lost but Seeking",Normal,NM,EN,,2fe97fbe-a6d6-4e96-8c26-f81bcdf579a1,274
1,Oracle of Mul Daya,Normal,NM,EN,,ab19808f-a5b8-4dfd-800e-2064cd6538c8,102
1,"Mina and Denn, Wildborn",Normal,NM,EN,,374b5d57-fd20-4062-9ec2-24ac557d9dde,94
1,Ramunap Excavator,Normal,NM,EN,,3f8a0a0e-81f7-40a2-b393-bdc1423549f6,202
1,Crop Rotation,Normal,NM,EN,,523414cb-f8db-407a-808a-01454e03d8b9,154
1,Expedition Map,Normal,NM,EN,,08e66835-c228-48fa-bcaa-eb96edbd4f5a,724
1,Scute Swarm,Normal,NM,EN,,ea630ba1-22f9-4a10-bdc6-0d03128214f4,197
1,Rampaging Baloths,Normal,NM,EN,,84aa18de-6acc-46cc-8e28-3046790a6751,104
1,Avenger of Zendikar,Normal,NM,EN,,c6f1e60f-a195-4590-80b0-86767de6c423,98
1,Ancient Greenwarden,Normal,NM,EN,,12a0bf5c-a165-48f1-9a57-3a7cc9f3b0f9,186
1,"Titania, Protector of Argoth",Normal,NM,EN,,732c208b-cd9e-48a9-9b9d-aba63066ba53,111
1,Patient Naturalist,Normal,NM,EN,,1dd17cea-9e8c-4dba-b6ab-a6b9de87a306,174
1,Impact Tremors,Normal,NM,EN,,d0b7cecf-b51b-4d30-b7e9-cd7976271e07,717
1,"Ruby, Daring Tracker",Normal,NM,EN,,fe3e7dd2-b66d-4218-9fde-f84bec26b7bf,245
1,"Halana and Alena, Partners",Normal,NM,EN,,b649f459-c9dc-495d-8703-b685996bb80c,659
1,Wayward Swordtooth,Normal,NM,EN,,95a5d742-187a-4eba-82e4-7a4cc5c4e6f3,263
1,"Ghalta, Primal Hunger",Normal,NM,EN,,6a9c39e4-a8cf-42dd-8d0e-45634b335546,222
1,Guttersnipe,Normal,NM,EN,,fd5be605-c7c3-4c0b-a68e-65452b27d3ce,217
1,"Chandra, Torch of Defiance",Normal,NM,EN,,40cb22c8-cb03-45c9-bb0e-b8cabdcc43cd,244
1,Dragonmaster Outcast,Normal,NM,EN,,a485edea-07cd-48dd-97e7-daeba85553d6,211
1,Solemn Simulacrum,Normal,NM,EN,,29fae212-b757-4e5f-ad9b-06cd09782f9f,355
1,Mind Stone,Normal,NM,EN,,ad881aa0-decc-447b-8c8a-983546a9a55a,352
1,Scaretiller,Normal,NM,EN,,23eb0fce-2e69-4280-8ee3-85736765fbbd,266
1,Tireless Tracker,Normal,NM,EN,,66444549-ad9b-49c6-a7c6-34e977c1085d,110
1,Return of the Wildspeaker,Normal,NM,EN,,2fa1dac5-51ba-403e-b48b-d2c0d23a8146,115
1,Garruk's Uprising,Normal,NM,EN,,b58c4033-f764-42f6-966f-b7202a2babbf,109
1,Thrill of Possibility,Normal,NM,EN,,882b348c-076b-41d8-b505-063480636669,210
1,Life from the Loam,Normal,NM,EN,,cdb6432f-3f56-4c92-b09a-2a5b64620c04,96
1,Winding Way,Normal,NM,EN,,d3340062-3071-4d8e-98f8-fd3343a011ad,213
1,Dragon Fodder,Normal,NM,EN,,f9abe517-f601-4784-8d62-2350bd755146,535
1,Crawling Sensation,Normal,NM,EN,,6d60bde4-5418-483f-9a75-17cf61927749,252
1,Escape to the Wilds,Normal,NM,EN,,889cdc42-fae3-4dda-9cf0-697730ef00e3,115
1,Bala Ged Recovery // Bala Ged Sanctuary,Normal,NM,EN,,c5cb3052-358d-44a7-8cfd-cd31b236494a,180
1,Decimate,Normal,NM,EN,,cf0e68bc-8de8-4ff8-a39a-8da95f71d843,220
1,Abrade,Normal,NM,EN,,1add1757-c1f8-448a-b279-c6940fb7ad5f,234
1,Bite Down,Normal,NM,EN,,f8d70b3b-f6f9-4b3c-ad70-0ce369e812b5,212
1,Reclamation Sage,Normal,NM,EN,,1918ea65-ab7f-4d40-97fd-a656c892a2a1,231
1,Wreck and Rebuild,Normal,NM,EN,,a177ba01-53cd-4223-8f79-9fbeb2b86906,250
1,Nevinyrral's Disk,Normal,NM,EN,,36fb6ee3-bd54-4e5b-b055-c2c42515c162,965
1,Meteor Golem,Normal,NM,EN,,d291ea1e-36bc-46b3-b3ae-084fa0ba69eb,256
1,Goblin Bombardment,Normal,NM,EN,,e262f55e-9239-4a97-a19e-9b08fb34502e,279
1,Soul-Guide Lantern,Normal,NM,EN,,f4907e7b-d6d5-4e9b-968f-bce34ae4a577,143
1,Skullclamp,Normal,NM,EN,,b5bb89dd-9d31-49d9-ba54-4a04798e515e,103
1,"Krenko, Tin Street Kingpin",Normal,NM,EN,,2f5689e2-d8a2-442b-8027-f89686adcb67,287
1,Basilisk Collar,Normal,NM,EN,,7b36fba7-71f7-4b7f-bde5-b3a9752ad21c,669
12,Forest,Normal,NM,EN,,5f533364-0f91-4e49-aaeb-83c4c1f6d316,308
10,Mountain,Normal,NM,EN,,51acfb01-4b0b-48fc-9704-a9b4a1e43a23,279
1,Sheltered Thicket,Normal,NM,EN,,ad7f87dd-1c43-4b6f-9d68-cc09ef76dbc2,167
1,Rugged Highlands,Normal,NM,EN,,31261eca-28ad-407c-84ef-0c124d0d7451,265
1,Bristling Backwoods,Normal,NM,EN,,d61dfeb7-7f6b-4601-8396-2cbb98165489,253
1,Temple of Abandon,Normal,NM,EN,,d2ce0759-6b24-41a6-8a24-16cf44dfc162,400
1,Gruul Guildgate,Normal,NM,EN,,3ab6c240-c97d-4a5c-bc39-860c2d9901c2,690
1,Command Tower,Normal,NM,EN,,c46a217c-0ed2-4b3c-9a01-ee38d12d76f3,129
1,Evolving Wilds,Normal,NM,EN,,a30f5555-2fbe-4c88-9e4f-1f2e81ea6cfd,65
1,Terramorphic Expanse,Normal,NM,EN,,9a4c5629-fadd-42b9-850f-9f8586a2ca50,265
1,Crawling Barrens,Normal,NM,EN,,ac2aff0e-1319-4d3b-903c-fa1ce3db7602,685
1,Rogue's Passage,Normal,NM,EN,,335444f0-0848-4c17-b056-56d4fc876a58,400
1,Scavenger Grounds,Normal,NM,EN,,707d733d-2928-4215-91d2-1340fc9ee903,316
1,Ramunap Ruins,Normal,NM,EN,,727beb1f-1445-4398-970c-e31819d54bc6,311
1,Hashep Oasis,Normal,NM,EN,,d18d5af2-ca2c-4a3a-9b67-e953b24b0718,299
1,Conduit Pylons,Normal,NM,EN,,5ffa48cc-b991-4d47-b7ec-cf678915c758,254
1,Dunes of the Dead,Normal,NM,EN,,cd86b0af-9c26-4c3a-8e1e-74a28263bd83,291
1,Demolition Field,Normal,NM,EN,,0c7e51b6-4898-4632-b39c-3ce438caa882,687
